date,price
14-09-1983,0.1116
15-09-1983,0.1103
16-09-1983,0.1051
19-09-1983,0.1025
20-09-1983,0.1116
21-09-1983,0.112
22-09-1983,0.1099
26-09-1983,0.0902
27-09-1983,0.0868
28-09-1983,0.082
29-09-1983,0.0798
30-09-1983,0.0794
03-10-1983,0.0807
04-10-1983,0.0807
05-10-1983,0.0798
06-10-1983,0.0785
07-10-1983,0.0776
10-10-1983,0.0702
11-10-1983,0.0689
12-10-1983,0.0676
13-10-1983,0.0759
14-10-1983,0.0802
17-10-1983,0.0794
18-10-1983,0.0724
19-10-1983,0.0676
20-10-1983,0.075
21-10-1983,0.0711
24-10-1983,0.0693
25-10-1983,0.0737
26-10-1983,0.0741
27-10-1983,0.0702
28-10-1983,0.0737
31-10-1983,0.0737
01-11-1983,0.0789
02-11-1983,0.0802
03-11-1983,0.082
04-11-1983,0.0763
07-11-1983,0.0737
08-11-1983,0.068
09-11-1983,0.0624
10-11-1983,0.0671
11-11-1983,0.0685
14-11-1983,0.0698
15-11-1983,0.0689
16-11-1983,0.0689
17-11-1983,0.0698
18-11-1983,0.0715
21-11-1983,0.0719
22-11-1983,0.075
23-11-1983,0.075
25-11-1983,0.0711
28-11-1983,0.0715
29-11-1983,0.0733
30-11-1983,0.0724
01-12-1983,0.0711
02-12-1983,0.0706
05-12-1983,0.0693
06-12-1983,0.0711
07-12-1983,0.0715
08-12-1983,0.0733
09-12-1983,0.075
12-12-1983,0.0754
13-12-1983,0.075
14-12-1983,0.0785
15-12-1983,0.0815
16-12-1983,0.085
19-12-1983,0.0863
20-12-1983,0.0837
21-12-1983,0.0815
22-12-1983,0.0846
23-12-1983,0.0863
27-12-1983,0.0859
28-12-1983,0.0863
29-12-1983,0.0872
30-12-1983,0.085
03-01-1984,0.085
04-01-1984,0.0898
05-01-1984,0.0973
06-01-1984,0.0985
09-01-1984,0.0968
10-01-1984,0.0916
11-01-1984,0.0963
12-01-1984,0.0977
13-01-1984,0.0973
16-01-1984,0.0951
17-01-1984,0.0973
18-01-1984,0.0998
19-01-1984,0.1003
20-01-1984,0.1012
23-01-1984,0.0998
24-01-1984,0.1007
25-01-1984,0.0951
26-01-1984,0.0942
27-01-1984,0.0963
30-01-1984,0.0911
31-01-1984,0.0863
01-02-1984,0.0863
02-02-1984,0.0859
03-02-1984,0.0868
06-02-1984,0.0855
07-02-1984,0.0811
08-02-1984,0.0841
09-02-1984,0.0811
10-02-1984,0.0824
13-02-1984,0.085
14-02-1984,0.0846
15-02-1984,0.0894
16-02-1984,0.0876
17-02-1984,0.0885
21-02-1984,0.0872
22-02-1984,0.0916
23-02-1984,0.0955
24-02-1984,0.0937
27-02-1984,0.0946
28-02-1984,0.0942
29-02-1984,0.089
01-03-1984,0.0916
02-03-1984,0.0942
05-03-1984,0.0951
06-03-1984,0.0933
07-03-1984,0.0898
08-03-1984,0.0924
09-03-1984,0.0937
12-03-1984,0.0924
13-03-1984,0.0955
14-03-1984,0.0942
15-03-1984,0.0929
16-03-1984,0.0933
19-03-1984,0.0924
20-03-1984,0.0916
21-03-1984,0.0907
22-03-1984,0.0907
23-03-1984,0.089
26-03-1984,0.089
27-03-1984,0.0898
28-03-1984,0.0876
29-03-1984,0.089
30-03-1984,0.0885
02-04-1984,0.0863
03-04-1984,0.0868
04-04-1984,0.0872
05-04-1984,0.0855
06-04-1984,0.0841
09-04-1984,0.082
10-04-1984,0.0837
11-04-1984,0.0863
12-04-1984,0.0855
13-04-1984,0.0898
16-04-1984,0.0898
17-04-1984,0.0933
18-04-1984,0.0959
19-04-1984,0.0977
23-04-1984,0.0985
24-04-1984,0.099
25-04-1984,0.0973
26-04-1984,0.0968
27-04-1984,0.1038
30-04-1984,0.1051
01-05-1984,0.1108
02-05-1984,0.116
03-05-1984,0.1151
04-05-1984,0.1103
07-05-1984,0.1051
08-05-1984,0.109
09-05-1984,0.1147
10-05-1984,0.1156
11-05-1984,0.1156
14-05-1984,0.112
15-05-1984,0.1103
16-05-1984,0.1112
17-05-1984,0.1064
18-05-1984,0.1016
21-05-1984,0.1038
22-05-1984,0.1112
23-05-1984,0.1077
24-05-1984,0.1055
25-05-1984,0.1025
29-05-1984,0.1029
30-05-1984,0.1025
31-05-1984,0.1012
01-06-1984,0.1025
04-06-1984,0.1059
05-06-1984,0.1016
06-06-1984,0.0973
07-06-1984,0.1012
08-06-1984,0.1003
11-06-1984,0.0998
12-06-1984,0.0998
13-06-1984,0.102
14-06-1984,0.1038
15-06-1984,0.1007
18-06-1984,0.1012
19-06-1984,0.1034
20-06-1984,0.1025
21-06-1984,0.1055
22-06-1984,0.1012
25-06-1984,0.0998
26-06-1984,0.0951
27-06-1984,0.0907
28-06-1984,0.0881
29-06-1984,0.092
02-07-1984,0.0924
03-07-1984,0.0894
05-07-1984,0.0881
06-07-1984,0.0863
09-07-1984,0.0876
10-07-1984,0.0916
11-07-1984,0.0937
12-07-1984,0.0924
13-07-1984,0.0929
16-07-1984,0.092
17-07-1984,0.0898
18-07-1984,0.0898
19-07-1984,0.0885
20-07-1984,0.0885
23-07-1984,0.0885
24-07-1984,0.0876
25-07-1984,0.0933
26-07-1984,0.0933
27-07-1984,0.0951
30-07-1984,0.0946
31-07-1984,0.089
01-08-1984,0.089
02-08-1984,0.0872
03-08-1984,0.0841
06-08-1984,0.0955
07-08-1984,0.102
08-08-1984,0.1034
09-08-1984,0.0994
10-08-1984,0.1038
13-08-1984,0.0994
14-08-1984,0.1046
15-08-1984,0.1003
16-08-1984,0.0973
17-08-1984,0.0981
20-08-1984,0.0959
21-08-1984,0.0955
22-08-1984,0.0994
23-08-1984,0.0977
24-08-1984,0.0981
27-08-1984,0.0981
28-08-1984,0.0973
29-08-1984,0.0985
30-08-1984,0.0959
31-08-1984,0.0942
04-09-1984,0.0924
05-09-1984,0.0916
06-09-1984,0.0916
